Tue  4 Apr 06:00:03 BST 2017
PING 103.10.124.1 (103.10.124.1) 56(84) bytes of data.
64 bytes from 103.10.124.1: icmp_seq=18 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=19 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=20 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=21 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=22 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=23 ttl=52 time=218 ms
64 bytes from 103.10.124.1: icmp_seq=24 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=25 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=26 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=27 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=28 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=29 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=30 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=31 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=32 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=33 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=34 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=35 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=36 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=37 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=38 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=39 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=40 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=41 ttl=52 time=212 ms
64 bytes from 103.10.124.1: icmp_seq=42 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=43 ttl=52 time=212 ms
64 bytes from 103.10.124.1: icmp_seq=44 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=45 ttl=52 time=216 ms
64 bytes from 103.10.124.1: icmp_seq=46 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=47 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=48 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=49 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=50 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=51 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=52 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=53 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=54 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=55 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=56 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=57 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=58 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=59 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=60 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=61 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=62 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=63 ttl=52 time=210 ms
64 bytes from 103.10.124.1: icmp_seq=64 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=65 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=66 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=67 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=68 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=69 ttl=52 time=210 ms
64 bytes from 103.10.124.1: icmp_seq=70 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=71 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=72 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=73 ttl=52 time=276 ms
64 bytes from 103.10.124.1: icmp_seq=74 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=75 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=76 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=77 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=78 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=79 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=80 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=81 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=82 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=83 ttl=52 time=225 ms
64 bytes from 103.10.124.1: icmp_seq=84 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=85 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=86 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=87 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=88 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=89 ttl=52 time=213 ms
64 bytes from 103.10.124.1: icmp_seq=90 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=91 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=92 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=93 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=94 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=95 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=96 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=97 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=98 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=99 ttl=52 time=209 ms
64 bytes from 103.10.124.1: icmp_seq=100 ttl=52 time=207 ms

--- 103.10.124.1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99122ms
rtt min/avg/max/mdev = 202.482/208.859/276.995/9.923 ms



Mon  1 May 12:00:08 BST 2017
PING 103.10.124.1 (103.10.124.1) 56(84) bytes of data.
64 bytes from 103.10.124.1: icmp_seq=1 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=2 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=3 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=4 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=5 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=6 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=7 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=8 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=9 ttl=52 time=229 ms
64 bytes from 103.10.124.1: icmp_seq=10 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=11 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=12 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=13 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=14 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=15 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=16 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=17 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=18 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=19 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=20 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=21 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=22 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=23 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=24 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=25 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=26 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=27 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=28 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=29 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=30 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=31 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=32 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=33 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=34 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=35 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=36 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=37 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=38 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=39 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=40 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=41 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=42 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=43 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=44 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=45 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=46 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=47 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=48 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=49 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=50 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=51 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=52 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=53 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=54 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=55 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=56 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=57 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=58 ttl=52 time=221 ms
64 bytes from 103.10.124.1: icmp_seq=59 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=60 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=61 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=62 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=63 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=64 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=65 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=66 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=67 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=68 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=69 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=70 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=71 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=72 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=73 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=74 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=75 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=76 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=77 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=78 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=79 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=80 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=81 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=82 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=83 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=84 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=85 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=86 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=87 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=88 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=89 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=90 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=91 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=92 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=93 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=94 ttl=52 time=227 ms
64 bytes from 103.10.124.1: icmp_seq=95 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=96 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=97 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=98 ttl=52 time=202 ms
64 bytes from 103.10.124.1: icmp_seq=99 ttl=52 time=203 ms
64 bytes from 103.10.124.1: icmp_seq=100 ttl=52 time=202 ms

--- 103.10.124.1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99040ms
rtt min/avg/max/mdev = 201.366/203.423/229.384/4.175 ms



Mon  1 May 18:00:06 BST 2017
PING 103.10.124.1 (103.10.124.1) 56(84) bytes of data.
64 bytes from 103.10.124.1: icmp_seq=1 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=2 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=3 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=4 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=5 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=6 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=7 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=8 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=9 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=10 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=11 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=12 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=13 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=14 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=15 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=16 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=17 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=18 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=19 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=20 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=21 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=22 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=23 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=24 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=25 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=26 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=27 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=28 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=29 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=30 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=31 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=32 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=33 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=34 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=35 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=36 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=37 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=38 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=39 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=40 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=41 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=42 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=43 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=44 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=45 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=46 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=47 ttl=52 time=260 ms
64 bytes from 103.10.124.1: icmp_seq=48 ttl=52 time=285 ms
64 bytes from 103.10.124.1: icmp_seq=49 ttl=52 time=316 ms
64 bytes from 103.10.124.1: icmp_seq=50 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=51 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=52 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=53 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=54 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=55 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=56 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=57 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=58 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=59 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=60 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=61 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=62 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=63 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=64 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=65 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=66 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=67 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=68 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=69 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=70 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=71 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=72 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=73 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=74 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=75 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=76 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=77 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=78 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=79 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=80 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=81 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=82 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=83 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=84 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=85 ttl=52 time=200 ms
64 bytes from 103.10.124.1: icmp_seq=86 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=87 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=88 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=89 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=90 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=91 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=92 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=93 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=94 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=95 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=96 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=97 ttl=52 time=199 ms
64 bytes from 103.10.124.1: icmp_seq=98 ttl=52 time=210 ms
64 bytes from 103.10.124.1: icmp_seq=99 ttl=52 time=201 ms
64 bytes from 103.10.124.1: icmp_seq=100 ttl=52 time=199 ms

--- 103.10.124.1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99605ms
rtt min/avg/max/mdev = 199.148/202.449/316.672/15.593 ms



Tue  2 May 00:00:07 BST 2017
PING 103.10.124.1 (103.10.124.1) 56(84) bytes of data.
64 bytes from 103.10.124.1: icmp_seq=1 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=2 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=3 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=4 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=5 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=6 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=7 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=8 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=9 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=10 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=11 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=12 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=13 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=14 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=15 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=16 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=17 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=18 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=19 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=20 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=21 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=22 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=23 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=24 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=25 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=26 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=27 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=28 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=29 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=30 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=31 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=32 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=33 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=34 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=35 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=36 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=37 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=38 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=39 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=40 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=41 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=42 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=43 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=44 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=45 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=46 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=47 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=48 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=49 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=50 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=51 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=52 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=53 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=54 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=55 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=56 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=57 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=58 ttl=52 time=214 ms
64 bytes from 103.10.124.1: icmp_seq=59 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=60 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=61 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=62 ttl=52 time=265 ms
64 bytes from 103.10.124.1: icmp_seq=63 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=64 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=65 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=66 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=67 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=68 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=69 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=70 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=71 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=72 ttl=52 time=212 ms
64 bytes from 103.10.124.1: icmp_seq=73 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=74 ttl=52 time=207 ms
64 bytes from 103.10.124.1: icmp_seq=75 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=76 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=77 ttl=52 time=204 ms
64 bytes from 103.10.124.1: icmp_seq=78 ttl=52 time=208 ms
64 bytes from 103.10.124.1: icmp_seq=79 ttl=52 time=211 ms
64 bytes from 103.10.124.1: icmp_seq=80 ttl=52 time=206 ms
64 bytes from 103.10.124.1: icmp_seq=81 ttl=52 time=205 ms
64 bytes from 103.10.124.1: icmp_seq=82 ttl=52 time=204 ms
